Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1959-60,23,PHW,NBA,C,72,,46.4,14.8,32.1,0.461,8,13.8,0.582,27,2.3,2.1,37.6
1960-61,24,PHW,NBA,C,79,,47.8,15.8,31.1,0.509,6.7,13.3,0.504,27.2,1.9,1.6,38.4
1961-62,25,PHW,NBA,C,80,,48.5,20,39.5,0.506,10.4,17,0.613,25.7,2.4,1.5,50.4
1962-63,26,SFW,NBA,C,80,,47.6,18.3,34.6,0.528,8.3,13.9,0.593,24.3,3.4,1.7,44.8
1963-64,27,SFW,NBA,C,80,,46.1,15.1,28.7,0.524,6.8,12.7,0.531,22.3,5,2.3,36.9
1964-65,28,TOT,NBA,C,73,,45.2,14.6,28.5,0.51,5.6,12.1,0.464,22.9,3.4,2,34.7
1964-65,28,SFW,NBA,C,38,,45.9,16.7,33.6,0.499,5.5,13.2,0.416,23.5,3.1,2,38.9
1964-65,28,PHI,NBA,C,35,,44.5,12.2,23.1,0.528,5.7,10.9,0.526,22.3,3.8,2,30.1
1965-66,29,PHI,NBA,C,79,,47.3,13.6,25.2,0.54,6.3,12.4,0.513,24.6,5.2,2.2,33.5
1966-67,30,PHI,NBA,C,81,,45.5,9.7,14.2,0.683,4.8,10.8,0.441,24.2,7.8,1.8,24.1
1967-68,31,PHI,NBA,C,82,,46.8,10,16.8,0.595,4.3,11.4,0.38,23.8,8.6,2,24.3
1968-69,32,LAL,NBA,C,81,,45.3,7.9,13.6,0.583,4.7,10.6,0.446,21.1,4.5,1.8,20.5
1969-70,33,LAL,NBA,C,12,,42.1,10.8,18.9,0.568,5.8,13.1,0.446,18.4,4.1,2.6,27.3
1970-71,34,LAL,NBA,C,82,,44.3,8.1,15,0.545,4.4,8.2,0.538,18.2,4.3,2.1,20.7
1971-72,35,LAL,NBA,C,82,,42.3,6,9.3,0.649,2.7,6.4,0.422,19.2,4,2.4,14.8
1972-73,36,LAL,NBA,C,82,,43.2,5.2,7.1,0.727,2.8,5.5,0.51,18.6,4.5,2.3,13.2
Career,,,NBA,,1045,,45.8,12.1,22.5,0.54,5.8,11.4,0.511,22.9,4.4,2,30.1
,,,,,,,,,,,,,,,,,
6 seasons,,"PHW,SFW",NBA,,429,,47.2,16.8,33.3,0.506,7.8,14.1,0.555,25.1,3,1.9,41.5
5 seasons,,LAL,NBA,,339,,43.7,7,11.5,0.605,3.7,7.9,0.475,19.2,4.3,2.2,17.7
4 seasons,,PHI,NBA,,277,,46.3,11.2,19.2,0.583,5.2,11.4,0.456,23.9,6.8,2,27.6
